"id",categorie,sous-categorie,activite,naf
"718","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation de chaussures et d'articles en cuir","95.23Z"
"719","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation de meubles et d'équipements du foyer","95.24Z"
"720","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation d'articles d'horlogerie et de bijouterie","95.25Z"
"721","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation d'autres biens personnels et domestiques","95.29Z"
"722","Autres activités de services","Autres services personnels","Blanchisserie-teinturerie de gros","96.01A"
"723","Autres activités de services","Autres services personnels","Blanchisserie-teinturerie de détail","96.01B"
"724","Autres activités de services","Autres services personnels","Coiffure","96.02A"
"725","Autres activités de services","Autres services personnels","Soins de beauté","96.02B"
"726","Autres activités de services","Autres services personnels","Services funéraires","96.03Z"
"727","Autres activités de services","Autres services personnels","Entretien corporel","96.04Z"
"728","Autres activités de services","Autres services personnels","Autres services personnels n.c.a.","96.09Z"
"729","Activités des ménages en tant qu'employeurs ; Activités indifférenciées des ménages en tant que producteurs de biens et services pour usages propre","Activités des ménages en tant qu'employeurs de personnel domestique","Activités des ménages en tant qu'employeurs de personnel domestique","97.00Z"
"730","Activités des ménages en tant qu'employeurs ; Activités indifférenciées des ménages en tant que producteurs de biens et services pour usages propre","Activités indifférenciées des ménages en tant que producteurs de biens et services pour usages propre","Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre","98.10Z"
"731","Activités des ménages en tant qu'employeurs ; Activités indifférenciées des ménages en tant que producteurs de biens et services pour usages propre","Activités indifférenciées des ménages en tant que producteurs de biens et services pour usages propre","Activités indifférenciées des ménages en tant que producteurs de services pour usage propre","98.20Z"
"732","Activités extra-territoriales","Activités des organisations et organismes extraterritoriaux","Activités des organisations et organismes extraterritoriaux","99.00Z"
